"Source:","/home/baobrien/cartboard/cartboard.sch"
"Date:","Sun 11 Sep 2016 09:57:58 PM CDT"
"Tool:","Eeschema 4.0.2+dfsg1-stable"
"Generator:","/home/baobrien/kicad_sources/kicad.bzr/scripts/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part","part"
"","","U401","MC7805CDTRKG","cartboard:7805CDT","cartboard:D-PAK3","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part","part"
"1","13","C1, C2, C3, C101, C102, C301, C302, C304, C403, C404, C501, C502, C503",".1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"2","1","C303","1u","device:C","Capacitors_SMD:C_0603_HandSoldering","","",""
"3","3","C401, C402, C405","47u","device:CP1","cartboard:CAP_UCD1H470MCL6GS","","","UCD1H470MCL6GS"
"4","4","D1, D101, D102, D103","LED","device:LED","LEDs:LED_0805","","APT2012SGC",""
"5","4","D401, D501, D502, D503","MBRS340T3G","device:D_Schottky","Diodes_SMD:SMC_Standard","","MBRS340T3G",""
"6","1","L401",".9u","device:INDUCTOR_SMALL","cartboard:L_NRS","","NRS6028T0R9NMGJV",""
"7","1","P101","CONN_01X05","conn:CONN_01X05","Pin_Headers:Pin_Header_Angled_1x05","","WM4203-ND",""
"8","2","P201, P202","CONN_01X08","conn:CONN_01X08","cartboard:TE_TERMBLOCK_5mmx8_282836-8","","282836-8",""
"9","1","P301","USB_OTG","conn:USB_OTG","Connect:USB_Mini-B","","65100516121",""
"10","5","P302, P401, P501, P502, P503","CONN_01X02","conn:CONN_01X02","cartboard:TE_TERMBLOCK_5mmx2_282836-2","","ED2609-ND",""
"11","3","Q501, Q502, Q503","NTD3055L104","cartboard:Q_NMOS_DGS_DPAK3","cartboard:D-PAK3","","",""
"12","1","R1","180R","device:R","Resistors_SMD:R_0603_HandSoldering","","",""
"13","6","R101, R102, R103, R501, R502, R503","1K","device:R","Resistors_SMD:R_0603_HandSoldering","","",""
"14","2","RP201, RP202","1K","device:R_PACK8","Housings_SOIC:SOIC-16_7.5x10.3mm_Pitch1.27mm","","628A102",""
"15","1","U101","CY8C29466","cartboard:CY8C29466","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm","","",""
"16","3","U201, U202, U203","SP723","cartboard:SP723","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","",""
"17","1","U301","CY7C65213-28","cartboard:CY7C65213-28","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm","","CY7C65213-28PVXI",""
"18","1","U302","ISO7321","cartboard:ISO7321","Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm","","",""
"19","1","U401","MC7805CDTRKG","cartboard:7805CDT","cartboard:D-PAK3","","",""
